#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit;format_libelle;format_libelle_noeud;cepages autorises;hash_produit
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux du Layon;COL;;;Rablay;RAB;Blanc;blanc;;;;1B212L04;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B212L04;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COL/mentions/DEFAUT/lieux/RAB/couleurs/blanc/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux du Layon;COL;;;Faye;FAY;Blanc;blanc;;;;1B212L03;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B212L03;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COL/mentions/DEFAUT/lieux/FAY/couleurs/blanc/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux du Layon;COL;;;St Aubin;STA;Blanc;blanc;;;;1B212L06;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B212L06;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COL/mentions/DEFAUT/lieux/STA/couleurs/blanc/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux du Layon;COL;;;St Lambert;STL;Blanc;blanc;;;;1B212L07;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B212L07;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COL/mentions/DEFAUT/lieux/STL/couleurs/blanc/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux du Layon;COL;SGN;SGN;;;Blanc;blanc;;;;1B212L10;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B212L10;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COL/mentions/SGN/lieux/DEFAUT/couleurs/blanc/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux du Layon;COL;SGN;SGN;Beaulieu;BEA;Blanc;blanc;;;;1B212L11;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B212L11;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COL/mentions/SGN/lieux/BEA/couleurs/blanc/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux du Layon;COL;SGN;SGN;Faye;FAY;Blanc;blanc;;;;1B212L13;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B212L13;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COL/mentions/SGN/lieux/FAY/couleurs/blanc/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux du Layon;COL;SGN;SGN;Rablay;RAB;Blanc;blanc;;;;1B212L14;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B212L14;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COL/mentions/SGN/lieux/RAB/couleurs/blanc/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux du Layon;COL;SGN;SGN;Rochefort;ROC;Blanc;blanc;;;;1B212L15;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B212L15;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COL/mentions/SGN/lieux/ROC/couleurs/blanc/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux du Layon;COL;SGN;SGN;St Aubin;STA;Blanc;blanc;;;;1B212L16;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B212L16;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COL/mentions/SGN/lieux/STA/couleurs/blanc/cepages/DEFAUT
